date,category,average_sentiment_score
2026-06-21,business,0.10989655172413793
2026-06-21,entertainment,0.10903448275862068
2026-06-21,general,0.07528571428571429
2026-06-21,health,0.04431818181818182
2026-06-21,science,0.08853846153846154
2026-06-21,sports,0.06789655172413793
2026-06-21,technology,0.08429411764705882
