keyword,frequency
june,10
chars,7
friday,7
people,6
the u.s.,6
researchers,6
authorities,4
saturday,4
the weekend,4
shinnecock hills,4
july,3
the company,3
thursday,3
apple,3
dollars,3
millions,3
aim,3
years,3
time,3
new research,3
a new study,3
the u.s. open,3
the game,3
dave,2
americans,2
investors,2
fun,2
a great time,2
iran,2
france,2
few retirees,2
war,2
the start,2
gas,2
drivers,2
the war,2
sexual assault,2
charges,2
google,2
founder,2
congress,2
meta,2
trump,2
production,2
president donald trump,2
amp,2
juneteenth,2
sacramento,2
sunday,2
the story,2
